# header s,l,s,l,l,l,d,d,d,d,d,d,d,d,d,d,d,d,d,d,s,s,roi
Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,Roi Name,roi
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1,domain,1,400,400,19.808259100545214,13.9925,17.6475,10.35,14.24335221807409,17.598928687423953,10.76312164002928,9.141562994681664,55866.0,18050.2875,8751.0,0.4436569841003547,0.5706134094151213,0.08,micron^3,ch-1_domain_label-1,136048
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1,subdomain,2,80,80,6.073931409809791,11.675,19.8,5.975,11.66938183876029,19.847119291361263,5.905839864995374,,27259.0,14755.05,8865.0,,,0.016,micron^3,ch-1_subdomain_label-2,136049
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1,subdomain,3,64,64,6.362194037559651,12.75,14.96875,4.921875,12.814224757544302,14.935751180584088,4.92763430922765,,27272.0,15097.796875,9344.0,,,0.0128,micron^3,ch-1_subdomain_label-3,136050
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1,subdomain,4,240,240,9.859111308618044,14.995833333333334,17.5875,12.725,15.099738134722305,17.546878061775143,12.798366807547142,,55866.0,20349.204166666663,8751.0,,,0.048,micron^3,ch-1_subdomain_label-4,136051
