Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units,Roi Name
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,0.0,domain,1,313,313,12.635899879302098,36.29073482428115,24.79552715654952,25.338658146964857,36.41519670560384,24.879551214081168,25.529171220689076,8.42393948619934,34027.0,16448.495207667733,7159.0,0.7056210650388346,0.7825,0.0626,micron^3,,,,,,,ch-0_domain_label-1
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,0.0,subdomain,2,313,313,12.635899879302098,36.29073482428115,24.79552715654952,25.338658146964857,36.41519670560384,24.879551214081168,25.529171220689076,,34027.0,16448.495207667733,7159.0,,,0.0626,micron^3,,,,,,,ch-0_subdomain_label-2
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,1.0,domain,1,692,692,17.23611307204306,34.62861271676301,24.579479768786126,25.891618497109828,34.77557061076041,24.63403433015167,25.826079547040916,10.974106166962038,24352.0,10972.676300578034,5663.0,0.5124991315369958,0.6064855390008764,0.1384,micron^3,,,,,,,ch-1_domain_label-1
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,1.0,subdomain,2,532,532,11.644732880097767,34.7406015037594,24.18796992481203,25.195488721804512,34.8717472277416,24.26916776507774,25.085910664751825,,24352.0,11465.63909774436,5663.0,,,0.10640000000000001,micron^3,,,,,,,ch-1_subdomain_label-2
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,1.0,subdomain,3,123,123,8.454265333994275,34.83739837398374,26.991869918699187,31.235772357723576,34.82763682438914,27.00353179472484,31.20194093591744,,17516.0,9958.317073170732,5742.0,,,0.0246,micron^3,,,,,,,ch-1_subdomain_label-3
20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_10.ome.tiff,,overlap,1,255,255,,36.219607843137254,24.44705882352941,25.180392156862744,,,,,,,,,,0.051000000000000004,micron^3,0.33999999999999997,0.011876333054073597,0.00982067535717988,0.20495326185542861,0.20553182842679693,micron,overlap_label-1
