# header s,l,s,l,l,l,d,d,d,d,d,d,d,d,d,d,d,d,d,d,s,s,roi
Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,Roi Name,roi
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,domain,1,1793,1793,23.988816783722715,8.47239263803681,28.124372559955383,25.79643056330173,8.330548828586895,28.155659394947875,25.88165356359967,15.072798352235695,12202.0,4624.695482431679,2113.0,0.4494100917573219,0.5242690058479532,0.3586,micron^3,ch-0_domain_label-1,135894
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,2,314,314,13.04566108262458,8.388535031847134,29.78343949044586,20.894904458598727,8.40505163064655,29.61473007059708,21.059843326315143,,9209.0,4781.328025477707,2142.0,,,0.0628,micron^3,ch-0_subdomain_label-2,135895
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,3,74,74,8.479202343933178,8.14864864864865,21.7027027027027,37.41891891891892,8.085678923934365,21.67210900769063,37.44607606563502,,5416.0,3472.108108108108,2397.0,,,0.0148,micron^3,ch-0_subdomain_label-3,135896
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,4,234,234,11.14805895383831,8.739316239316238,24.06410256410257,24.4017094017094,8.612870631799332,24.376959774059927,24.650466222302583,,12202.0,5223.380341880342,2201.0,,,0.0468,micron^3,ch-0_subdomain_label-4,135897
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,5,668,668,15.582937077544818,7.014970059880239,28.568862275449103,29.34580838323353,7.127165560456237,28.35298726181049,29.11062075261801,,11903.0,5155.297904191617,2113.0,,,0.1336,micron^3,ch-0_subdomain_label-5,135898
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,6,62,62,9.4631023107002,9.96774193548387,23.387096774193548,20.0,9.863949522510232,23.51792048333658,20.09237965308907,,5051.0,3310.322580645161,2296.0,,,0.0124,micron^3,ch-0_subdomain_label-6,135899
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,7,114,114,12.159711432659556,9.333333333333334,29.86842105263158,17.219298245614034,9.274988363906829,29.964034531714493,17.27309618312755,,7019.0,3750.429824561404,2280.0,,,0.0228,micron^3,ch-0_subdomain_label-7,135900
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,8,82,82,6.7230826831503085,9.646341463414634,38.86585365853659,27.04878048780488,9.62100219147614,38.89425636999968,27.05720733980964,,6462.0,3728.4146341463415,2383.0,,,0.0164,micron^3,ch-0_subdomain_label-8,135901
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,9,159,159,8.411089279361736,11.28930817610063,32.295597484276726,24.36477987421384,11.205767143605213,32.123615917714204,24.27340250941249,,8176.0,4299.786163522012,2319.0,,,0.0318,micron^3,ch-0_subdomain_label-9,135902
20180329_RI510_ESC_32_SIR_THR_15.ome.tiff,0,subdomain,10,45,45,6.585006664531869,11.688888888888888,18.57777777777778,30.444444444444443,11.6798745593554,18.593035144745077,30.427192540707168,,3749.0,2912.4,2442.0,,,0.009,micron^3,ch-0_subdomain_label-10,135903
